Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
Afsar Zazai*,Afsar Zazai,10/08/1993,2013-,8,8,141,0,48*,17.63,0,0,-,-,,AFG,W
Aftab Alam,Aftab Alam,30/11/1992,2012-2018,12,5,2,0,1,1.00,11,0,29.45,7.93,2/23,AFG,W
Amir Hamza*,Amir Hamza,15/08/1991,2013-2021,33,9,40,0,21*,10.00,30,0,25.07,6.77,3/39,AFG,W
Asghar Afghan,Asghar Afghan,22/12/1987,2010-2021,75,68,1382,0,62*,21.94,1,0,4.00,6.00,1/4,AFG,W
Azmatullah Omarzai*,Azmatullah Omarzai,24/03/2000,2022-,47,37,474,0,34*,14.36,31,1,30.16,8.37,4/9,AFG,W
Darwish Rasooli*,Darwish Rasooli,12/12/1999,2022-,9,9,118,0,58*,16.86,0,0,-,-,,AFG,W
Dawlat Ahmadzai,Dawlat Ahmadzai,05/09/1984,2010-2010,2,1,2,0,2,0.00,2,0,23.00,11.50,1/21,AFG,W
Dawlat Zadran,Dawlat Zadran,19/03/1988,2012-2019,34,17,68,0,13*,7.56,40,1,24.50,7.94,4/44,AFG,W
Fareed Ahmad*,Fareed Ahmad,10/08/1994,2016-,32,5,32,0,24,32.00,41,1,19.54,8.33,4/15,AFG,W
Fazal Rahman Niazai,Fazal Niazai,01/02/1990,2019-2019,1,1,12,0,12*,12.00,0,0,-,13.00,0/13,AFG,W
Fazalhaq Farooqi*,Fazalhaq Farooqi,22/09/2000,2021-,43,12,12,0,4,4.00,54,2,19.09,6.71,5/9,AFG,W
Gulbadin Naib*,Gulbadin Naib,16/03/1991,2012-,75,64,945,0,57*,20.54,33,1,26.06,7.88,4/20,AFG,W
Hamid Hassan,Hamid Hassan,01/06/1987,2010-2021,25,9,50,0,22*,16.67,35,1,16.57,6.40,4/22,AFG,W
Hashmatullah Shahidi*,Hashmatullah Shahidi,04/11/1994,2013-,6,4,48,0,36*,24.00,0,0,-,-,,AFG,W
Hazratullah Zazai*,Hazratullah Zazai,23/03/1998,2016-,45,45,1160,1,162,27.62,0,0,-,-,,AFG,W
Ibrahim Zadran*,Ibrahim Zadran,12/12/2001,2019-,44,44,1105,0,72,29.08,0,0,-,-,,AFG,W
Ihsanullah*,Ihsanullah,28/12/1997,2022-,1,1,20,0,20*,20.00,0,0,-,-,,AFG,W
Ijaz Ahmad Ahmadzai*,Ijaz Ahmad Ahmadzai,25/06/2003,2024-,3,3,35,0,16*,11.67,0,0,-,-,,AFG,W
Izatullah Dawlatzai,Izatullah Dawlatzai,10/05/1991,2012-2012,4,1,0,0,0,0.00,6,0,22.33,11.17,3/33,AFG,W
Javed Ahmadi,Javed Ahmadi,02/01/1992,2012-2017,3,2,6,0,6*,3.00,0,0,-,-,,AFG,W
Karim Janat*,Karim Janat,11/08/1998,2016-,67,48,691,0,56,17.72,42,1,27.14,8.19,5/11,AFG,W
Karim Sadiq,Karim Sadiq,18/02/1984,2010-2018,36,36,538,0,72*,14.94,14,0,34.43,6.89,3/17,AFG,W
Mirwais Ashraf,Mirwais Ashraf,30/06/1988,2010-2016,25,19,128,0,28,11.64,14,0,31.71,6.80,2/6,AFG,W
Mohammad Ishaq*,Mohammad Ishaq,01/02/2005,2024-,5,5,76,0,32*,19.00,0,0,-,-,,AFG,W
Mohammad Nabi*,Mohammad Nabi,01/01/1985,2010-,132,124,2237,0,89*,22.60,97,3,28.14,7.31,4/10,AFG,W
Mohammad Saleem*,Mohammad Saleem,09/09/2002,2024-,1,0,0,0,0*,0.00,0,0,-,14.33,0/43,AFG,W
Mohammad Shahzad*,Mohammad Shahzad,31/01/1988,2010-,73,73,2048,1,118,29.26,0,0,-,-,,AFG,W
Mujeeb Ur Rahman*,Mujeeb Ur Rahman,28/03/2001,2018-,49,14,54,0,21*,9.00,63,2,18.11,6.34,5/20,AFG,W
Najeeb Tarakai,Najeeb Tarakai,02/02/1991,2014-2019,12,12,258,0,90*,21.50,0,0,-,-,,AFG,W
Najibullah Zadran*,Najibullah Zadran,28/02/1993,2012-,107,95,1830,0,73*,29.52,0,0,-,-,,AFG,W
