Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
Abdul Malik*,Abdul Malik,11/03/1998,2024-,4,3,122,0,84*,40.67,0,0,-,-,,AFG,O
Abdul Rahman*,Abdul Rahman,22/11/2001,2023-,3,3,10,0,4,5.00,1,0,133.00,7.67,1/83,AFG,O
Abdullah Mazari,Abdullah Mazari,07/03/1987,2010-2010,2,1,3,0,3*,3.00,2,0,24.50,3.06,1/18,AFG,O
Afsar Zazai*,Afsar Zazai,10/08/1993,2014-2017,17,16,264,0,60*,17.60,0,0,-,-,,AFG,O
Aftab Alam,Aftab Alam,30/11/1992,2010-2019,27,17,80,0,16,11.43,41,1,25.20,4.93,4/25,AFG,O
Ahmed Shah,Ahmed Shah,20/10/1983,2009-2009,1,1,2,0,2*,2.00,0,0,-,12.00,0/12,AFG,O
Amir Hamza*,Amir Hamza,15/08/1991,2012-2017,31,16,23,0,7*,3.29,40,1,25.40,3.93,4/17,AFG,O
Asghar Afghan,Asghar Afghan,22/12/1987,2009-2021,114,108,2424,1,101*,24.73,3,0,30.33,3.93,1/1,AFG,O
Azmatullah Omarzai*,Azmatullah Omarzai,24/03/2000,2021-,39,31,1033,1,149,46.95,37,3,30.05,5.52,5/58,AFG,O
Bilal Sami*,Bilal Sami,21/12/2003,2024-,1,0,0,0,0*,0.00,0,0,-,8.33,0/25,AFG,O
Darwish Rasooli*,Darwish Rasooli,12/12/1999,2024-2024,1,0,0,0,0*,0.00,0,0,-,-,,AFG,O
Dawlat Ahmadzai,Dawlat Ahmadzai,05/09/1984,2009-2010,3,0,0,0,0*,0.00,1,0,121.00,6.48,1/40,AFG,O
Dawlat Zadran,Dawlat Zadran,19/03/1988,2011-2019,82,56,513,0,47,17.69,115,3,29.77,5.45,4/22,AFG,O
Fareed Ahmad*,Fareed Ahmad,10/08/1994,2014-,19,8,46,0,17*,11.50,25,0,27.08,5.41,3/56,AFG,O
Fazalhaq Farooqi*,Fazalhaq Farooqi,22/09/2000,2022-,42,21,21,0,6,3.50,52,5,32.62,5.73,4/34,AFG,O
A M Ghazanfar*,A M Ghazanfar,15/07/2007,2024-,11,4,37,0,31,12.33,21,2,13.57,4.05,6/26,AFG,O
Gulbadin Naib*,Gulbadin Naib,16/03/1991,2011-,89,78,1332,0,82,19.88,74,4,36.16,5.57,6/43,AFG,O
Hamid Hassan,Hamid Hassan,01/06/1987,2009-2019,38,22,107,0,17*,6.69,59,3,22.54,4.60,5/45,AFG,O
Hashmatullah Shahidi*,Hashmatullah Shahidi,04/11/1994,2013-,90,88,2435,0,97,33.36,0,0,-,8.33,0/8,AFG,O
Hasti Gul,Hasti Gul,01/01/1984,2009-2009,2,1,23,0,23,0.00,3,0,24.33,3.84,2/48,AFG,O
Hazratullah Zazai*,Hazratullah Zazai,23/03/1998,2018-2019,16,16,361,0,67*,22.56,0,0,-,-,,AFG,O
Ibrahim Zadran*,Ibrahim Zadran,12/12/2001,2019-,36,36,1656,6,177*,50.18,0,0,-,-,,AFG,O
Ihsanullah*,Ihsanullah,28/12/1997,2017-2018,16,16,307,0,57,21.93,0,0,-,-,,AFG,O
Ikram Ali Khil*,Ikram Ali Khil,29/09/2000,2019-,31,22,384,0,86*,22.59,0,0,-,-,,AFG,O
Izatullah Dawlatzai,Izatullah Dawlatzai,10/05/1991,2010-2015,5,3,7,0,6,3.50,8,1,18.25,4.17,4/38,AFG,O
Javed Ahmadi,Javed Ahmadi,02/01/1992,2010-2021,47,44,1049,0,81*,23.84,9,1,40.33,4.82,4/37,AFG,O
Karim Janat*,Karim Janat,11/08/1998,2017-,3,3,32,0,22*,10.67,0,0,-,6.92,0/20,AFG,O
Karim Sadiq,Karim Sadiq,18/02/1984,2009-2016,24,22,475,2,114,23.75,6,0,33.50,3.77,2/10,AFG,O
Khaliq Dad,Khaliq Dad,01/01/1984,2009-2010,6,4,40,0,20*,13.33,9,0,16.67,3.57,3/30,AFG,O
Mirwais Ashraf,Mirwais Ashraf,30/06/1988,2009-2016,46,38,387,0,52,14.33,46,1,29.57,4.06,4/35,AFG,O
Mohammad Nabi*,Mohammad Nabi,01/01/1985,2009-,173,151,3667,2,136*,27.16,176,5,32.42,4.30,5/17,AFG,O
Mohammad Saleem*,Mohammad Saleem,09/09/2002,2023-,2,0,0,0,0*,0.00,0,0,-,6.77,0/34,AFG,O
Mohammad Shahzad*,Mohammad Shahzad,31/01/1988,2009-2019,84,84,2727,6,131,33.67,0,0,-,-,,AFG,O
Mohibullah Paak,Mohibullah Paak,12/10/1992,2013-2013,2,0,0,0,0*,0.00,0,0,-,-,,AFG,O
Mujeeb Ur Rahman*,Mujeeb Ur Rahman,28/03/2001,2017-,75,39,236,0,64*,9.08,101,4,28.35,4.33,5/50,AFG,O
Najeeb Tarakai,Najeeb Tarakai,02/02/1991,2017-2017,1,1,5,0,5*,5.00,0,0,-,-,,AFG,O
Najibullah Zadran*,Najibullah Zadran,28/02/1993,2012-,92,84,2060,1,104,29.01,0,0,-,6.00,0/9,AFG,O
Nangeyalia Kharote*,Nangeyalia Kharote,25/04/2004,2024-,7,4,41,0,27,13.67,11,2,16.55,3.69,4/26,AFG,O
Nasir Jamal*,Nasir Jamal,21/12/1993,2014-2018,16,14,352,0,53*,27.08,0,0,-,7.00,0/7,AFG,O
Naveed Zadran*,Naveed Zadran,07/03/2005,2024-,3,2,10,0,9,10.00,3,0,26.33,7.18,3/13,AFG,O
Naveen-ul-Haq*,Naveen-ul-Haq,23/09/1999,2016-,15,10,37,0,10,7.40,22,1,32.18,6.15,4/42,AFG,O
Nawroz Mangal,Nawroz Mangal,28/11/1984,2009-2016,49,48,1139,2,129*,27.12,8,0,29.38,4.81,3/35,AFG,O
Noor Ahmad*,Noor Ahmad,03/01/2005,2022-,13,6,46,0,26*,9.20,10,0,64.40,6.09,3/49,AFG,O
Noor Ali Zadran*,Noor Ali Zadran,10/07/1988,2009-2019,51,50,1216,1,114*,24.82,0,0,-,-,,AFG,O
Noor-ul-Haq,Noor-ul-Haq,02/04/1992,2010-2010,2,2,12,0,12*,6.00,0,0,-,-,,AFG,O
Qais Ahmad*,Qais Ahmad,15/08/2000,2022-,3,2,12,0,11*,6.00,6,0,22.17,6.14,3/32,AFG,O
Raees Ahmadzai,Raees Ahmadzai,03/09/1984,2009-2010,5,4,88,0,39*,29.33,0,0,-,4.00,0/16,AFG,O
Rahmanullah Gurbaz*,Rahmanullah Gurbaz,28/11/2001,2021-,49,49,1785,8,151*,37.19,0,0,-,-,,AFG,O
Rahmat Shah*,Rahmat Shah,06/07/1993,2013-,123,118,3975,5,114*,35.18,15,1,35.47,5.88,5/32,AFG,O
Rashid Khan*,Rashid Khan,20/09/1998,2015-,114,87,1384,0,60,19.49,199,11,20.40,4.24,7/18,AFG,O
Riaz Hassan*,Riaz Hassan,07/11/2002,2022-,7,6,165,0,50*,27.50,0,0,-,-,,AFG,O
Rokhan Barakzai,Rokhan Barakzai,01/01/1989,2015-2015,1,0,0,0,0*,0.00,2,0,22.50,4.50,2/45,AFG,O
Samiullah Shinwari*,Samiullah Shinwari,31/12/1987,2009-2019,84,74,1811,0,96*,29.21,45,1,38.44,4.92,4/31,AFG,O
Sayed Shirzad,Sayed Shirzad,01/10/1994,2019-2019,2,1,25,0,25*,25.00,1,0,56.00,7.00,1/56,AFG,O
Sediqullah Atal*,Sediqullah Atal,12/08/2001,2024-2025,9,8,335,1,104*,41.88,0,0,-,-,,AFG,O
Shabir Noori,Shabir Noori,22/02/1992,2010-2016,10,10,191,0,94*,19.10,0,0,-,-,,AFG,O
Shafiqullah,Shafiqullah,07/08/1989,2009-2018,24,21,430,0,56*,22.63,0,0,-,-,,AFG,O
Shahidullah Kamal*,Shahidullah Kamal,06/02/1999,2022-,3,3,39,0,37*,13.00,0,0,-,5.33,0/16,AFG,O
Shapoor Zadran,Shapoor Zadran,08/07/1987,2009-2019,44,27,67,0,17*,6.70,43,2,36.95,4.81,4/24,AFG,O
Sharafuddin Ashraf*,Sharafuddin Ashraf,10/01/1995,2014-,20,12,70,0,21*,8.75,14,0,46.50,4.42,3/29,AFG,O
Usman Ghani*,Usman Ghani,20/11/1996,2014-2022,17,17,435,1,118*,25.59,1,0,34.00,5.37,1/21,AFG,O
Yamin Ahmadzai*,Yamin Ahmadzai,25/07/1992,2015-,9,5,9,0,5*,3.00,7,0,43.43,5.36,2/34,AFG,O
Zahir Khan*,Zahir Khan,20/12/1998,2019-2019,1,1,0,0,0,0.00,2,0,27.50,5.50,2/55,AFG,O
Zakiullah Zaki,Zakiullah Zaki,15/07/1990,2012-2012,1,1,3,0,3,0.00,0,0,-,6.75,0/27,AFG,O
Zia-Ur-Rehman*,Zia-Ur-Rehman,30/12/1997,2023-,1,1,5,0,5*,5.00,0,0,-,6.29,0/22,AFG,O
Total Players = 65,,,,,,,,,,,,,,,AFG,O
