Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
S A Abbott*,Sean Abbott,29/02/1992,2014-,20,7,25,0,12,5.00,26,1,20.96,8.91,4/31,AUS,W
A C Agar*,Ashton Agar,14/10/1993,2016-,49,29,279,0,29*,11.63,49,2,23.04,6.50,6/30,AUS,W
G J Bailey,George Bailey,07/09/1982,2012-2016,29,25,470,0,63*,26.11,0,0,-,-,,AUS,W
C T Bancroft,Cameron Bancroft,19/11/1992,2016-2016,1,1,0,0,0,0.00,0,0,-,-,,AUS,W
X C Bartlett*,Xavier Bartlett,17/12/1998,2024-,7,2,5,0,5*,2.50,11,0,14.73,6.85,3/13,AUS,W
J P Behrendorff*,Jason Behrendorff,20/04/1990,2017-,17,2,7,0,5*,7.00,18,1,24.61,8.36,4/21,AUS,W
T R Birt,Travis Birt,09/12/1981,2010-2012,4,3,31,0,17*,10.33,0,0,-,-,,AUS,W
S M Boland*,Scott Boland,11/04/1989,2016-2016,3,0,0,0,0*,0.00,3,0,30.00,8.18,3/26,AUS,W
D E Bollinger,Doug Bollinger,24/07/1981,2011-2014,9,2,1,0,1,0.00,9,0,27.67,7.11,1/22,AUS,W
C J Boyce,Cameron Boyce,27/07/1989,2014-2016,7,2,4,0,3*,4.00,8,0,19.00,6.61,2/10,AUS,W
N W Bracken,Nathan Bracken,12/09/1977,2006-2009,19,6,15,0,4,5.00,19,0,23.05,6.97,3/11,AUS,W
A T Carey*,Alex Carey,27/08/1991,2018-2021,38,26,233,0,37,11.10,0,0,-,-,,AUS,W
D T Christian,Dan Christian,04/05/1983,2010-2021,23,14,118,0,39*,14.75,13,0,30.62,8.56,3/27,AUS,W
S R Clark,Stuart Clark,28/09/1975,2006-2007,9,0,0,0,0*,0.00,13,1,18.23,6.58,4/20,AUS,W
M J Clarke,Michael Clarke,02/04/1981,2005-2010,34,28,488,0,67*,21.22,6,0,37.50,8.65,1/2,AUS,W
C Connolly*,Cooper Connolly,22/08/2003,2024-,2,0,0,0,0*,0.00,0,0,-,9.00,0/20,AUS,W
N M Coulter-Nile,Nathan Coulter-Nile,11/10/1987,2013-2019,28,15,150,0,34*,13.64,34,1,23.56,8.26,4/30,AUS,W
P J Cummins*,Pat Cummins,08/05/1993,2011-,57,27,158,0,28*,10.53,66,0,23.44,7.40,3/15,AUS,W
B C J Cutting,Ben Cutting,30/01/1987,2013-2014,4,3,35,0,29*,11.67,1,0,99.00,9.00,1/18,AUS,W
T H David*,Tim David,16/03/1996,2022-,40,34,643,0,64*,26.79,0,0,-,-,,AUS,W
X J Doherty,Xavier Doherty,22/11/1982,2012-2013,11,4,18,0,9,18.00,10,0,30.00,7.89,3/20,AUS,W
B R Dunk,Ben Dunk,11/03/1987,2014-2017,5,5,99,0,32*,19.80,0,0,-,-,,AUS,W
B J Dwarshuis*,Ben Dwarshuis,23/06/1994,2022-,3,3,1,0,1*,0.50,5,0,22.40,10.18,3/40,AUS,W
N Ellis*,Nathan Ellis,22/09/1994,2021-,20,6,18,0,11,6.00,32,1,16.91,7.66,4/28,AUS,W
J P Faulkner,James Faulkner,29/04/1990,2012-2017,24,18,159,0,41,14.45,36,1,19.00,7.97,5/27,AUS,W
Fawad Ahmed,Fawad Ahmed,05/02/1982,2013-2013,2,1,3,0,3,0.00,3,0,22.67,8.50,3/25,AUS,W
C J Ferguson,Callum Ferguson,21/11/1984,2009-2009,3,3,16,0,8*,5.33,0,0,-,-,,AUS,W
A J Finch*,Aaron Finch,17/11/1986,2011-,103,103,3120,2,172*,34.29,0,0,-,13.50,0/9,AUS,W
J Fraser-Mcgurk*,Jake Fraser-McGurk,11/04/2002,2024-,7,7,113,0,50*,16.14,0,0,-,-,,AUS,W
B Geeves,Brett Geeves,13/06/1982,2009-2009,1,0,0,0,0*,0.00,2,0,17.50,10.50,2/35,AUS,W
