Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
C J Adams,Christopher Adams,06/05/1970,1998-2000,5,4,71,0,42*,17.75,0,0,-,-,,ENG,O
J P Agnew,Jonathan Agnew,04/04/1960,1985-1985,3,1,2,0,2,0.00,3,0,40.00,5.71,3/38,ENG,O
Ajmal Shahzad,Ajmal Shahzad,27/07/1985,2010-2011,11,8,39,0,9*,6.50,17,0,28.82,5.00,3/41,ENG,O
M W Alleyne,Mark Alleyne,23/05/1968,1999-2000,10,8,151,0,53*,21.57,10,0,28.00,4.59,3/27,ENG,O
P J W Allott,Paul Allott,14/09/1956,1982-1985,13,6,15,0,8*,3.75,15,0,36.80,4.04,3/41,ENG,O
T R Ambrose,Timothy Ambrose,01/12/1982,2008-2008,5,5,10,0,6*,2.50,0,0,-,-,,ENG,O
D L Amiss,Dennis Amiss,07/04/1943,1972-1977,18,18,859,4,137*,47.72,0,0,-,-,,ENG,O
J M Anderson,James Anderson,30/07/1982,2002-2015,194,79,273,0,28*,7.58,269,13,29.22,4.92,5/23,ENG,O
Z S Ansari,Zafar Ansari,10/12/1991,2015-2015,1,0,0,0,0*,0.00,0,0,-,-,,ENG,O
J C Archer*,Jofra Archer,01/04/1995,2019-,31,18,162,0,38,18.00,54,1,26.31,5.23,6/40,ENG,O
G G Arnold,Geoffrey Arnold,03/09/1944,1972-1975,14,6,48,0,18,16.00,19,1,17.84,2.85,4/27,ENG,O
M A Atherton,Michael Atherton,23/05/1968,1990-1998,54,54,1791,2,127*,35.12,0,0,-,-,,ENG,O
C W J Athey,Bill Athey,27/09/1957,1980-1988,31,30,848,2,142,31.41,0,0,-,10.00,0/10,ENG,O
A A P Atkinson*,Gus Atkinson,19/01/1998,2023-,11,8,104,0,38*,17.33,13,0,40.54,6.70,2/28,ENG,O
I D Austin,Ian Austin,30/05/1966,1998-1999,9,6,34,0,11,6.80,6,0,60.00,4.55,2/25,ENG,O
R J Bailey,Robert Bailey,28/10/1963,1985-1990,4,4,137,0,43,68.50,0,0,-,4.17,0/25,ENG,O
D L Bairstow,David Bairstow,01/09/1951,1979-1984,21,20,206,0,23,14.71,0,0,-,-,,ENG,O
J M Bairstow*,Jonny Bairstow,26/09/1989,2011-,107,98,3868,11,141,42.98,0,0,-,-,,ENG,O
J T Ball,Jacob Ball,14/03/1991,2016-2018,18,6,38,0,28*,9.50,21,1,46.67,6.21,5/51,ENG,O
G S Ballance*,Gary Ballance,22/11/1989,2013-,16,15,297,0,79*,21.21,0,0,-,-,,ENG,O
T Banton*,Tom Banton,11/11/1998,2020-,7,6,172,0,58*,28.67,0,0,-,-,,ENG,O
G D Barlow,Graham Barlow,26/03/1950,1976-1977,6,6,149,0,80,29.80,0,0,-,-,,ENG,O
K J Barnett,Kim Barnett,17/07/1960,1988-1988,1,1,84,0,84*,84.00,0,0,-,-,,ENG,O
G J Batty,Gareth Batty,13/10/1977,2002-2009,10,8,30,0,17*,5.00,5,0,73.20,4.99,2/40,ENG,O
I R Bell,Ian Bell,11/04/1982,2004-2015,161,157,5416,4,141*,37.87,6,0,14.67,6.00,3/9,ENG,O
J E Benjamin,Joseph Benjamin,02/02/1961,1994-1995,2,1,0,0,0*,0.00,1,0,47.00,3.92,1/22,ENG,O
M R Benson,Mark Benson,06/07/1958,1986-1986,1,1,24,0,24*,24.00,0,0,-,-,,ENG,O
J G Bethell*,Jacob Bethell,23/10/2003,2024-,9,8,218,0,55*,31.14,5,0,32.40,7.04,2/33,ENG,O
M P Bicknell,Martin Bicknell,14/01/1969,1990-1991,7,6,96,0,31,24.00,13,0,26.69,5.04,3/55,ENG,O
S W Billings*,Sam Billings,15/06/1991,2015-,28,23,702,1,118*,33.43,0,0,-,-,,ENG,O
I D Blackwell,Ian Blackwell,10/06/1978,2002-2006,34,29,403,0,82*,14.93,24,0,36.58,4.28,3/26,ENG,O
R J Blakey,Richard Blakey,15/01/1967,1992-1993,3,2,25,0,25*,12.50,0,0,-,-,,ENG,O
R S Bopara,Ravi Bopara,04/05/1985,2007-2015,120,109,2695,1,101,30.63,40,1,38.08,4.91,4/38,ENG,O
S G Borthwick,Scott Borthwick,19/04/1990,2011-2011,2,2,18,0,15*,9.00,0,0,-,8.00,0/13,ENG,O
I T Botham,Ian Botham,24/11/1955,1976-1992,116,106,2113,0,79*,23.22,145,3,28.54,3.96,4/31,ENG,O
G Boycott,Geoff Boycott,21/10/1940,1971-1981,36,34,1082,1,105*,36.07,5,0,21.00,3.75,2/14,ENG,O
J M Brearley,Mike Brearley,28/04/1942,1977-1980,25,24,510,0,78*,24.29,0,0,-,-,,ENG,O
T T Bresnan,Tim Bresnan,28/02/1985,2006-2015,85,64,871,0,80*,19.80,109,4,34.98,5.42,5/48,ENG,O
D R Briggs,Danny Briggs,30/04/1991,2012-2012,1,0,0,0,0*,0.00,2,0,19.50,3.90,2/39,ENG,O
