Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
Ajmal Shahzad,Ajmal Shahzad,27/07/1985,2010-2011,3,1,0,0,0,0.00,3,0,32.33,8.82,2/38,ENG,W
T R Ambrose,Timothy Ambrose,01/12/1982,2008-2008,1,0,0,0,0*,0.00,0,0,-,-,,ENG,W
J M Anderson,James Anderson,30/07/1982,2007-2009,19,4,1,0,1,1.00,18,0,30.67,7.85,3/23,ENG,W
J C Archer*,Jofra Archer,01/04/1995,2019-,34,12,82,0,21*,11.71,41,1,24.44,7.97,4/33,ENG,W
A A P Atkinson*,Gus Atkinson,19/01/1998,2023-,4,2,10,0,8,10.00,6,1,20.33,11.26,4/20,ENG,W
J M Bairstow*,Jonny Bairstow,26/09/1989,2011-,80,72,1671,0,90*,29.84,0,0,-,-,,ENG,W
J T Ball,Jacob Ball,14/03/1991,2018-2018,2,0,0,0,0*,0.00,2,0,41.50,11.86,1/39,ENG,W
T Banton*,Tom Banton,11/11/1998,2019-2022,14,14,327,0,73*,23.36,0,0,-,-,,ENG,W
G J Batty,Gareth Batty,13/10/1977,2009-2009,1,1,4,0,4*,4.00,0,0,-,5.67,0/17,ENG,W
I R Bell,Ian Bell,11/04/1982,2006-2014,8,8,188,0,60,26.86,0,0,-,-,,ENG,W
J G Bethell*,Jacob Bethell,23/10/2003,2024-,10,9,196,0,62,32.67,0,0,-,9.33,0/28,ENG,W
S W Billings*,Sam Billings,15/06/1991,2015-2022,36,32,474,0,87*,17.56,0,0,-,-,,ENG,W
R S Bopara,Ravi Bopara,04/05/1985,2008-2014,38,35,711,0,65,28.44,16,1,24.19,7.21,4/10,ENG,W
S G Borthwick,Scott Borthwick,19/04/1990,2011-2011,1,1,14,0,14*,14.00,1,0,15.00,3.75,1/15,ENG,W
T T Bresnan,Tim Bresnan,28/02/1985,2006-2014,34,22,216,0,47,16.62,24,0,36.96,8.03,3/10,ENG,W
D R Briggs,Danny Briggs,30/04/1991,2012-2014,7,1,0,0,0,0.00,5,0,39.80,11.06,2/25,ENG,W
S C J Broad,Stuart Broad,24/06/1986,2006-2014,56,26,118,0,18,7.38,65,1,22.94,7.63,4/24,ENG,W
H C Brook*,Harry Brook,22/02/1999,2022-,44,37,798,0,81,28.50,0,0,-,-,,ENG,W
