Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
V R Aaron,Varun Aaron,29/10/1989,2011-2014,9,3,8,0,6,8.00,11,0,38.09,6.62,3/24,IND,O
S Abid Ali,Syed Abid Ali,09/09/1941,1974-1975,5,3,93,0,70*,31.00,7,0,26.71,3.34,2/22,IND,O
A B Agarkar,Ajit Agarkar,04/12/1977,1998-2007,191,113,1269,0,95*,14.59,288,12,27.85,5.07,6/42,IND,O
M A Agarwal,Mayank Agarwal,16/02/1991,2020-2020,5,5,86,0,32*,17.20,0,0,-,10.00,0/10,IND,O
K K Ahmed*,Khaleel Ahmed,05/12/1997,2018-2019,11,3,9,0,5*,4.50,15,0,31.00,5.81,3/13,IND,O
M Amarnath,Mohinder Amarnath,24/09/1950,1975-1989,85,75,1924,2,102,30.54,46,0,42.85,4.33,3/12,IND,O
S Amarnath,Surinder Amarnath,30/12/1948,1978-1978,3,3,100,0,62*,33.33,0,0,-,-,,IND,O
P K Amre,Praveen Amre,14/08/1968,1991-1994,37,30,513,0,84,20.52,0,0,-,12.00,0/4,IND,O
S A Ankola,Salil Ankola,01/03/1968,1989-1997,20,13,34,0,9*,3.78,13,0,47.31,4.57,3/33,IND,O
Arshad Ayub,Arshad Ayub,02/08/1958,1987-1990,32,17,116,0,31,11.60,31,1,39.23,4.12,5/21,IND,O
Arshdeep Singh*,Arshdeep Singh,05/02/1999,2022-,9,6,39,0,18*,7.80,14,2,23.00,5.18,5/37,IND,O
B Arun,Bharathi Arun,14/12/1962,1986-1987,4,3,21,0,8*,10.50,1,0,103.00,6.06,1/43,IND,O
Arun Lal,Arun Lal,01/08/1955,1982-1989,13,13,122,0,51*,9.38,0,0,-,-,,IND,O
R Ashwin,Ravichandran Ashwin,17/09/1986,2010-2023,116,63,707,0,65*,16.44,156,1,33.21,4.93,4/25,IND,O
Avesh Khan*,Avesh Khan,13/12/1996,2022-,8,4,23,0,10*,7.67,9,1,36.56,5.54,4/27,IND,O
K Azad,Kirtivardhan Azad,02/01/1959,1980-1986,25,21,269,0,39,14.16,7,0,39.00,4.20,2/48,IND,O
M Azharuddin,Mohammad Azharuddin,08/02/1963,1985-2000,334,308,9378,7,153,36.92,12,0,39.92,5.21,3/19,IND,O
