Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
Abhishek Sharma*,Abhishek Sharma,04/09/2000,2024-,17,16,535,2,135*,33.44,6,0,25.50,8.05,2/3,IND,W
A B Agarkar,Ajit Agarkar,04/12/1977,2006-2007,4,2,15,0,14*,7.50,3,0,28.33,8.10,2/10,IND,W
K K Ahmed*,Khaleel Ahmed,05/12/1997,2018-,18,2,1,0,1,0.00,16,0,35.13,8.52,2/27,IND,W
S Aravind,Sreenath Aravind,08/04/1984,2015-2015,1,0,0,0,0*,0.00,1,0,44.00,12.00,1/44,IND,W
Arshdeep Singh*,Arshdeep Singh,05/02/1999,2022-,63,21,71,0,12*,8.88,99,2,18.30,8.30,4/9,IND,W
R Ashwin,Ravichandran Ashwin,17/09/1986,2010-2022,65,19,184,0,31,26.29,72,2,23.22,6.91,4/8,IND,W
Avesh Khan*,Avesh Khan,13/12/1996,2022-,25,5,27,0,16*,13.50,27,1,27.85,9.04,4/18,IND,W
P Awana,Parvinder Awana,19/07/1986,2012-2012,2,0,0,0,0*,0.00,0,0,-,11.83,0/29,IND,W
S Badrinath,Subramaniam Badrinath,30/08/1980,2011-2011,1,1,43,0,43*,43.00,0,0,-,-,,IND,W
L Balaji,Lakshmipathy Balaji,27/09/1981,2012-2012,5,0,0,0,0*,0.00,10,0,12.10,7.56,3/19,IND,W
S T R Binny,Stuart Binny,03/06/1984,2015-2016,3,2,35,0,24*,17.50,1,0,54.00,10.80,1/14,IND,W
J J Bumrah*,Jasprit Bumrah,06/12/1993,2016-,70,8,8,0,7*,2.67,89,0,17.74,6.28,3/7,IND,W
Y S Chahal*,Yuzvendra Chahal,23/07/1990,2016-,80,6,6,0,3,3.00,96,3,25.09,8.19,6/25,IND,W
D L Chahar*,Deepak Chahar,07/08/1992,2018-,25,7,53,0,31*,26.50,31,1,24.10,8.30,6/7,IND,W
R D Chahar,Rahul Chahar,04/08/1999,2019-2021,6,1,5,0,5*,5.00,7,0,23.86,7.59,3/15,IND,W
P P Chawla,Piyush Chawla,24/12/1988,2010-2012,7,1,0,0,0*,0.00,4,0,37.75,6.57,2/13,IND,W
T U Deshpande*,Tushar Deshpande,15/05/1995,2024-,2,0,0,0,0*,0.00,2,0,27.50,9.17,1/25,IND,W
R Dhawan,Rishi Dhawan,19/02/1990,2016-2016,1,1,1,0,1,0.00,1,0,42.00,10.50,1/42,IND,W
S Dhawan*,Shikhar Dhawan,05/12/1985,2011-2021,68,66,1759,0,92*,27.92,0,0,-,-,,IND,W
M S Dhoni,M S Dhoni,07/07/1981,2006-2019,98,85,1617,0,56*,37.60,0,0,-,-,,IND,W
A B Dinda,Ashok Dinda,25/03/1984,2009-2012,9,2,22,0,19*,22.00,17,1,14.41,8.17,4/19,IND,W
R Dravid,Rahul Dravid,11/01/1973,2011-2011,1,1,31,0,31*,31.00,0,0,-,-,,IND,W
S Dube*,Shivam Dube,26/06/1993,2019-,35,26,531,0,63,31.24,13,0,34.23,9.37,3/30,IND,W
R D Gaikwad*,Ruturaj Gaikwad,31/01/1997,2021-,23,20,633,1,123,39.56,0,0,-,-,,IND,W
G Gambhir,Gautam Gambhir,14/10/1981,2007-2012,37,36,932,0,75*,27.41,0,0,-,-,,IND,W
Harbhajan Singh,Harbhajan Singh,03/07/1980,2006-2016,28,13,108,0,21*,13.50,25,1,25.32,6.21,4/12,IND,W
D J Hooda*,Deepak Hooda,19/04/1995,2022-,21,17,368,1,104*,30.67,6,1,12.67,4.80,4/10,IND,W
Ishan Kishan*,Ishan Kishan,18/07/1998,2021-,32,32,796,0,89*,25.68,0,0,-,-,,IND,W
S S Iyer*,Shreyas Iyer,06/12/1994,2017-,51,47,1104,0,74,30.67,0,0,-,6.00,0/2,IND,W
V R Iyer,Venkatesh Iyer,25/12/1994,2021-2022,9,7,133,0,35,33.25,5,0,15.00,8.18,2/23,IND,W
R A Jadeja*,Ravindra Jadeja,06/12/1988,2009-,74,41,515,0,46,21.46,54,0,29.85,7.13,3/15,IND,W
