Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
Aamer Jamal*,Aamer Jamal,05/07/1996,2022-,6,5,88,0,41*,22.00,2,0,93.50,11.11,1/13,Pak,W
Aamer Yamin,Aamer Yamin,26/06/1990,2015-2018,2,1,15,0,15,0.00,2,0,18.50,6.17,1/12,Pak,W
Abbas Afridi*,Abbas Afridi,05/05/2001,2024-,20,12,93,0,20,10.33,33,0,15.48,8.59,3/17,Pak,W
Abdul Razzaq,Abdul Razzaq,02/12/1979,2006-2013,32,29,393,0,46,20.68,20,0,19.75,6.99,3/13,Pak,W
Abdul Samad*,Abdul Samad,25/01/1998,2025-,5,4,66,0,44*,16.50,0,0,-,-,,Pak,W
Abdullah Shafique*,Abdullah Shafique,20/11/1999,2020-,6,6,64,0,41,12.80,0,0,-,-,,Pak,W
Abdur Rauf,Abdur Rauf,09/12/1978,2008-2008,1,0,0,0,0*,0.00,0,0,-,7.00,0/21,Pak,W
Abdur Rehman,Abdur Rehman,01/03/1980,2007-2013,8,5,22,0,7,11.00,11,0,17.45,7.38,2/7,Pak,W
Abrar Ahmed*,Abrar Ahmed,11/09/1998,2024-,10,2,3,0,2*,3.00,14,0,18.57,8.21,3/28,Pak,W
Ahmed Shehzad,Ahmed Shehzad,23/11/1991,2009-2019,59,59,1471,1,111,25.81,0,0,-,10.00,0/10,Pak,W
Ahsan Ali,Ahsan Ali,10/12/1993,2020-2020,2,2,36,0,36*,18.00,0,0,-,-,,Pak,W
Aizaz Cheema,Aizaz Cheema,05/09/1979,2011-2012,5,1,0,0,0,0.00,8,1,14.50,6.82,4/30,Pak,W
Anwar Ali,Anwar Ali,25/11/1987,2008-2016,16,11,109,0,46*,15.57,10,0,36.70,8.31,2/27,Pak,W
Arafat Minhas*,Arafat Minhas,02/01/2005,2023-,4,3,60,0,25*,30.00,4,0,15.50,5.17,2/11,Pak,W
Arshad Iqbal*,Arshad Iqbal,26/12/2000,2021-,3,2,0,0,0*,0.00,4,0,13.25,5.89,3/14,Pak,W
