Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
K J Abbott,Kyle Abbott,18/06/1987,2013-2016,28,13,76,0,23*,8.44,34,2,30.91,4.84,4/21,SAF,O
S Abrahams,Shafiek Abrahams,04/03/1968,2000-2000,1,1,16,0,16,0.00,0,0,-,4.00,0/40,SAF,O
P R Adams,Paul Adams,20/01/1977,1996-2003,24,9,66,0,33,16.50,29,0,28.10,4.41,3/26,SAF,O
H M Amla,Hashim Amla,31/03/1983,2008-2019,181,178,8113,27,159*,49.47,0,0,-,-,,SAF,O
O E G Baartman*,Ottneil Baartman,18/03/1993,2024-,4,3,13,0,10,0.00,6,0,16.83,4.04,2/32,SAF,O
A M Bacher,Adam Bacher,29/10/1973,1997-2005,13,13,270,0,56*,20.77,3,0,21.33,3.56,2/36,SAF,O
T Bavuma*,Temba Bavuma,17/05/1990,2016-,48,47,1847,5,144*,43.98,0,0,-,3.57,0/22,SAF,O
F Behardien,Farhaan Behardien,09/10/1983,2013-2018,59,49,1074,0,70*,30.69,14,0,51.36,5.77,3/19,SAF,O
D M Benkenstein,Dale Benkenstein,09/06/1974,1998-2002,23,20,305,0,69*,17.94,4,0,11.00,4.06,3/5,SAF,O
G H Bodi,Gulam Bodi,04/01/1979,2007-2007,2,2,83,0,51*,41.50,0,0,-,8.00,0/8,SAF,O
N Boje,Nico Boje,20/03/1973,1995-2005,113,69,1410,2,129*,27.65,95,3,35.27,4.51,5/21,SAF,O
C Bosch*,Corbin Bosch,10/09/1994,2024-2025,2,2,55,0,40,0.00,2,0,69.50,8.18,1/69,SAF,O
E Bosch*,Eathan Bosch,27/04/1998,2025-,1,1,7,0,7,0.00,1,0,33.00,4.71,1/33,SAF,O
T Bosch,Tertius Bosch,14/03/1966,1992-1992,2,0,0,0,0*,0.00,0,0,-,7.76,0/19,SAF,O
L L Bosman,Loots Bosman,14/04/1977,2006-2010,13,11,299,0,88*,27.18,0,0,-,-,,SAF,O
J Botha,Johan Botha,02/05/1982,2005-2012,76,48,578,0,46*,18.65,72,1,39.11,4.56,4/19,SAF,O
M V Boucher,Mark Boucher,03/12/1976,1998-2011,290,216,4523,1,147,28.45,0,0,-,-,,SAF,O
M P Breetzke*,Matthew Breetzke,03/11/1998,2025-2025,2,2,233,1,150*,116.50,0,0,-,-,,SAF,O
R E Bryson,Rudi Bryson,25/07/1968,1997-1997,7,4,32,0,17,32.00,7,0,46.14,5.13,2/34,SAF,O
N Burger*,Nandre Burger,11/08/1995,2023-,5,4,10,0,7*,10.00,6,0,37.50,5.53,3/30,SAF,O
D J Callaghan,David Callaghan,01/02/1965,1992-2000,29,25,493,1,169,25.95,10,0,36.50,4.93,3/32,SAF,O
G Coetzee*,Gerald Coetzee,02/10/2000,2023-,14,7,57,0,22*,8.14,31,2,23.23,6.49,4/44,SAF,O
S J Cook,Stephen Cook,31/07/1953,1991-1993,4,4,67,0,35*,16.75,0,0,-,-,,SAF,O
W J Cronje,Hansie Cronje,25/09/1969,1992-2000,188,175,5565,2,112*,38.65,114,2,34.79,4.44,5/32,SAF,O
D N Crookes,Derek Crookes,05/03/1969,1994-2000,32,23,296,0,54*,14.80,25,0,40.44,4.97,3/30,SAF,O
D J Cullinan,Daryll Cullinan,04/03/1967,1993-2000,138,133,3860,3,124*,32.99,5,0,24.80,4.28,2/30,SAF,O
C J Dala*,Junior Dala,29/12/1989,2018-,3,2,8,0,5*,8.00,2,0,84.00,6.72,1/47,SAF,O
H Davids,Henry Davids,19/01/1980,2013-2013,2,2,8,0,7*,4.00,0,0,-,-,,SAF,O
A C Dawson,Alan Dawson,27/11/1969,1998-2004,19,7,69,0,23,23.00,21,1,34.05,4.76,4/49,SAF,O
Q de Kock*,Quinton de Kock,17/12/1992,2013-,155,155,6770,21,178*,45.74,0,0,-,-,,SAF,O
M de Lange,Marchant de Lange,13/10/1990,2012-2016,4,0,0,0,0*,0.00,10,1,19.80,5.68,4/46,SAF,O
A B de Villiers,AB de Villiers,17/02/1984,2005-2018,223,213,9427,25,176*,54.18,7,0,25.71,6.00,2/15,SAF,O
P S De Villiers,Fanie De Villiers,13/10/1964,1992-1997,83,36,170,0,20,8.10,95,2,27.75,3.58,4/27,SAF,O
T de Zorzi*,Tony de Zorzi,28/08/1997,2023-,14,14,482,1,119,37.08,0,0,-,-,,SAF,O
H H Dippenaar,Boeta Dippenaar,14/06/1977,1999-2006,101,89,3300,4,125,44.00,0,0,-,-,,SAF,O
A A Donald,Allan Donald,20/10/1966,1991-2003,164,40,95,0,13*,4.32,272,13,21.79,4.15,6/23,SAF,O
F du Plessis,Faf du Plessis,13/07/1984,2011-2019,143,136,5507,12,185*,47.47,2,0,94.50,5.91,1/8,SAF,O
J-P Duminy,Jean-Paul Duminy,14/04/1984,2004-2019,199,179,5117,4,150,36.81,69,1,45.55,5.37,4/16,SAF,O
D M Dupavillon,Daryn Dupavillon,15/07/1994,2020-2021,2,1,17,0,17*,17.00,1,0,51.00,4.64,1/21,SAF,O
C E Eksteen,Clive Eksteen,02/12/1966,1991-1994,6,2,6,0,6,0.00,2,0,90.50,4.89,1/26,SAF,O
D Elgar*,Dean Elgar,11/06/1987,2012-2018,8,7,104,0,42*,17.33,2,0,33.50,4.19,1/11,SAF,O
S Elworthy,Steven Elworthy,23/02/1965,1998-2002,39,16,100,0,23*,12.50,44,0,28.07,4.35,3/17,SAF,O
B C Fortuin*,Bjorn Fortuin,21/10/1994,2020-,13,9,74,0,28*,9.25,16,0,30.81,4.91,2/22,SAF,O
