Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
K J Abbott,Kyle Abbott,18/06/1987,2013-2016,21,6,23,0,9,11.50,26,0,22.27,7.97,3/20,SAF,W
Y A Abdulla,Yusuf Abdulla,17/01/1983,2009-2009,2,0,0,0,0*,0.00,2,0,22.00,6.29,1/16,SAF,W
H M Amla,Hashim Amla,31/03/1983,2009-2018,41,41,1158,0,97,32.17,0,0,-,-,,SAF,W
O E G Baartman*,Ottneil Baartman,18/03/1993,2024-,12,2,1,0,1*,0.50,17,1,19.24,7.43,4/11,SAF,W
T Bavuma*,Temba Bavuma,17/05/1990,2019-,36,35,670,0,72*,21.61,0,0,-,-,,SAF,W
F Behardien,Farhaan Behardien,09/10/1983,2012-2018,38,30,518,0,64,32.38,3,0,9.00,5.40,2/15,SAF,W
P J V Biljon,Pite van Biljon,15/04/1986,2020-2021,10,8,125,0,42*,20.83,0,0,-,-,,SAF,W
G H Bodi,Gulam Bodi,04/01/1979,2007-2007,1,1,8,0,8*,8.00,0,0,-,-,,SAF,W
N Boje,Nico Boje,20/03/1973,2005-2005,1,0,0,0,0*,0.00,1,0,27.00,6.75,1/27,SAF,W
L L Bosman,Loots Bosman,14/04/1977,2006-2010,14,14,323,0,94*,24.85,0,0,-,-,,SAF,W
J Botha,Johan Botha,02/05/1982,2006-2012,40,20,201,0,34*,18.27,37,0,22.24,6.38,3/16,SAF,W
M V Boucher,Mark Boucher,03/12/1976,2005-2010,25,21,268,0,36,17.87,0,0,-,-,,SAF,W
M P Breetzke*,Matthew Breetzke,03/11/1998,2023-,10,10,151,0,51*,16.78,0,0,-,-,,SAF,W
D Brevis*,Dewald Brevis,29/04/2003,2023-,2,2,5,0,5*,2.50,0,0,-,-,,SAF,W
N Burger*,Nandre Burger,11/08/1995,2023-,2,1,1,0,1*,1.00,1,0,86.00,12.29,1/39,SAF,W
G L Cloete,Gihahn Cloete,04/10/1992,2018-2019,2,2,15,0,13*,7.50,0,0,-,-,,SAF,W
G Coetzee*,Gerald Coetzee,02/10/2000,2023-,10,9,81,0,23*,11.57,12,0,30.25,10.57,3/32,SAF,W
C J Dala*,Junior Dala,29/12/1989,2018-2021,10,4,19,0,12,19.00,13,0,23.62,9.59,3/35,SAF,W
H Davids,Henry Davids,19/01/1980,2012-2013,9,9,161,0,68*,17.89,1,0,13.00,6.50,1/6,SAF,W
Dayyaan Galiem*,Dayyaan Galiem,02/01/1997,2024-,1,0,0,0,0*,0.00,2,0,10.50,5.25,2/21,SAF,W
T B de Bruyn*,Theunis de Bruyn,08/10/1992,2017-2017,2,2,26,0,19*,13.00,0,0,-,-,,SAF,W
Q de Kock*,Quinton de Kock,17/12/1992,2012-,92,91,2584,1,100*,31.51,0,0,-,-,,SAF,W
M de Lange,Marchant de Lange,13/10/1990,2012-2015,6,0,0,0,0*,0.00,7,0,32.57,9.77,2/26,SAF,W
A B de Villiers,AB de Villiers,17/02/1984,2006-2017,78,75,1672,0,79,26.13,0,0,-,-,,SAF,W
H H Dippenaar,Boeta Dippenaar,14/06/1977,2006-2006,1,1,1,0,1*,1.00,0,0,-,-,,SAF,W
F du Plessis,Faf du Plessis,13/07/1984,2012-2020,47,47,1466,1,119*,36.65,0,0,-,2.25,0/0,SAF,W
J-P Duminy,Jean-Paul Duminy,14/04/1984,2007-2019,81,75,1934,0,96,38.68,21,0,28.52,7.76,3/18,SAF,W
D Ferreira*,Donovan Ferreira,21/07/1998,2023-,6,5,79,0,48*,15.80,0,0,-,12.33,0/37,SAF,W
B C Fortuin*,Bjorn Fortuin,21/10/1994,2019-,25,16,76,0,17,8.44,20,0,28.50,7.92,3/16,SAF,W
R Frylinck,Robert Frylinck,27/09/1984,2017-2018,3,0,0,0,0*,0.00,5,0,12.40,6.20,2/20,SAF,W
H H Gibbs,Herschelle Gibbs,23/02/1974,2005-2010,23,23,400,0,90,18.18,0,0,-,-,,SAF,W
A J Hall,Andrew Hall,31/07/1975,2006-2006,2,1,11,0,11*,11.00,3,0,20.00,7.50,3/22,SAF,W
T Henderson,Tyron Henderson,01/08/1974,2006-2006,1,1,0,0,0*,0.00,0,0,-,7.75,0/31,SAF,W
B E Hendricks*,Beuran Hendricks,08/06/1990,2014-2021,19,5,18,0,12,6.00,25,1,25.08,9.20,4/14,SAF,W
R R Hendricks*,Reeza Hendricks,14/08/1989,2014-,78,77,2271,1,117*,30.28,0,0,-,12.00,0/8,SAF,W
Imran Tahir,Imran Tahir,27/03/1979,2013-2019,35,4,19,0,9,19.00,61,4,14.08,6.57,5/23,SAF,W
C A Ingram,Colin Ingram,03/07/1985,2010-2012,9,9,210,0,78*,26.25,0,0,-,-,,SAF,W
M Jansen*,Marco Jansen,01/05/2000,2022-,17,12,166,0,54*,18.44,16,0,31.63,8.14,3/16,SAF,W
C Jonker,Christiaan Jonker,24/09/1986,2018-2018,2,2,57,0,49*,28.50,0,0,-,-,,SAF,W
J H Kallis,Jacques Kallis,16/10/1975,2005-2012,25,23,666,0,73*,35.05,12,1,27.75,7.24,4/15,SAF,W
J M Kemp,Justin Kemp,02/10/1977,2005-2007,8,7,203,0,89,50.75,0,0,-,5.00,0/5,SAF,W
H Klaasen*,Heinrich Klaasen,30/07/1991,2018-,58,53,1000,0,81*,23.26,0,0,-,14.00,0/14,SAF,W
R K Kleinveldt,Rory Kleinveldt,15/03/1983,2008-2013,6,3,25,0,22*,25.00,9,0,19.22,8.51,3/18,SAF,W
G J Kruger,Garnett Kruger,05/01/1977,2006-2006,1,1,3,0,3*,3.00,0,0,-,7.25,0/29,SAF,W
P E Kruger*,Patrick Kruger,03/02/1995,2024-,7,5,72,0,44*,18.00,8,1,22.38,9.26,4/27,SAF,W
H G Kuhn,Heino Kuhn,01/04/1984,2009-2017,7,6,49,0,29*,12.25,0,0,-,-,,SAF,W
C K Langeveldt,Charl Langeveldt,17/12/1974,2005-2010,9,3,4,0,2,4.00,17,1,14.18,7.30,4/19,SAF,W
E Leie,Eddie Leie,16/11/1986,2015-2015,2,0,0,0,0*,0.00,4,0,12.00,8.00,3/16,SAF,W
R E Levi,Richard Levi,14/01/1988,2012-2012,13,13,236,1,117,21.45,0,0,-,-,,SAF,W
G F Linde*,George Linde,04/12/1991,2020-,16,12,159,0,48*,14.45,20,1,19.45,6.95,4/21,SAF,W
J Louw,Johann Louw,12/04/1979,2008-2009,2,1,1,0,1,0.00,2,0,27.00,7.71,2/36,SAF,W
W J Lubbe,Wihan Lubbe,22/11/1992,2021-2021,2,2,16,0,12*,8.00,0,0,-,-,,SAF,W
S S B Magala*,Sisanda Magala,07/01/1991,2021-,6,3,34,0,18,34.00,6,0,37.67,11.30,3/21,SAF,W
K A Maharaj*,Keshav Maharaj,07/02/1990,2021-,39,15,103,0,41*,11.44,38,0,25.84,7.34,3/27,SAF,W
J N Malan*,Janneman Malan,18/04/1996,2019-2021,11,11,241,0,55*,21.91,0,0,-,-,,SAF,W
K T Maphaka*,Kwena Maphaka,08/04/2006,2024-,5,3,16,0,12,0.00,3,0,56.00,9.98,2/39,SAF,W
A K Markram*,Aiden Markram,04/10/1994,2019-,57,53,1367,0,70*,30.38,13,0,37.46,8.54,3/21,SAF,W
N D McKenzie,Neil McKenzie,24/11/1975,2006-2009,2,1,7,0,7,0.00,0,0,-,-,,SAF,W
R McLaren,Ryan McLaren,09/02/1983,2009-2014,12,4,9,0,6,9.00,17,1,19.53,7.57,5/19,SAF,W
D A Miller*,David Miller,10/06/1989,2010-,127,112,2550,2,106,33.55,0,0,-,-,,SAF,W
J A Morkel,Albie Morkel,10/06/1981,2005-2015,50,38,572,0,43*,21.19,26,0,33.23,8.01,3/12,SAF,W
M Morkel,Morne Morkel,06/10/1984,2007-2017,41,7,21,0,8,10.50,46,2,23.85,7.48,4/17,SAF,W
C H Morris,Chris Morris,30/04/1987,2012-2019,23,13,133,0,55,14.78,34,1,20.50,8.40,4/27,SAF,W
M Mosehle,Mangaliso Mosehle,24/04/1990,2017-2017,7,6,105,0,36*,21.00,0,0,-,-,,SAF,W
P W A Mulder*,Wiaan Mulder,19/02/1998,2021-,11,8,105,0,36*,17.50,8,0,24.38,9.75,2/10,SAF,W
A Nel,Andre Nel,15/07/1977,2005-2007,2,1,0,0,0,0.00,2,0,21.00,5.25,2/19,SAF,W
L Ngidi*,Lungi Ngidi,29/03/1996,2017-,43,13,41,0,13,8.20,63,3,20.94,9.23,5/39,SAF,W
A Nortje*,Anrich Nortje,16/11/1993,2019-,42,12,17,0,4,2.83,53,3,19.17,7.01,4/7,SAF,W
M Ntini,Makhaya Ntini,06/07/1977,2005-2011,10,4,10,0,5*,5.00,6,0,49.67,9.31,2/22,SAF,W
J L Ontong,Justin Ontong,04/01/1980,2008-2015,14,10,158,0,48*,15.80,1,0,83.00,13.83,1/25,SAF,W
W D Parnell*,Wayne Parnell,30/07/1989,2009-,56,23,174,0,29,17.40,59,2,25.66,8.30,5/30,SAF,W
D Paterson*,Dane Paterson,04/04/1989,2017-2018,8,2,5,0,4,5.00,9,1,29.44,8.88,4/32,SAF,W
N Peter*,Nqabayomzi Peter,09/12/2001,2024-,8,4,22,0,10,11.00,6,0,36.67,9.17,2/32,SAF,W
A N Petersen,Alviro Petersen,25/11/1980,2010-2010,2,2,14,0,8*,7.00,0,0,-,-,,SAF,W
R J Peterson,Robin Peterson,04/08/1979,2006-2014,21,12,124,0,34*,15.50,24,0,18.79,7.54,3/28,SAF,W
A M Phangiso,Aaron Phangiso,21/01/1984,2012-2018,16,3,19,0,13*,6.33,20,0,22.15,7.77,3/25,SAF,W
A L Phehlukwayo*,Andile Phehlukwayo,03/03/1996,2017-,42,25,166,0,27,9.22,50,1,22.24,8.92,4/24,SAF,W
V D Philander,Vernon Philander,24/06/1985,2007-2007,7,4,14,0,6*,3.50,4,0,28.50,8.24,2/23,SAF,W
S M Pollock,Shaun Pollock,16/07/1973,2005-2008,12,9,86,0,36,12.29,15,0,20.60,7.63,3/28,SAF,W
D Pretorius*,Dwaine Pretorius,29/03/1989,2017-,30,17,261,0,77,21.75,35,1,19.89,8.29,5/17,SAF,W
A G Prince,Ashwell Prince,28/05/1977,2005-2005,1,1,5,0,5*,5.00,0,0,-,-,,SAF,W
S Qeshile,Sinethemba Qeshile,10/02/1999,2019-2019,2,0,0,0,0*,0.00,0,0,-,-,,SAF,W
K Rabada*,Kagiso Rabada,25/05/1995,2014-,65,24,156,0,22*,17.33,71,0,27.15,8.30,3/18,SAF,W
R D Rickelton*,Ryan Rickelton,11/07/1996,2024-,13,13,263,0,76*,20.23,0,0,-,-,,SAF,W
R R Rossouw*,Rilee Rossouw,09/10/1989,2014-,29,27,767,2,109*,34.86,0,0,-,-,,SAF,W
J A Rudolph,Jacques Rudolph,04/05/1981,2006-2006,1,1,6,0,6,0.00,0,0,-,-,,SAF,W
T Shamsi*,Tabraiz Shamsi,18/02/1990,2017-,70,14,10,0,4,2.00,89,4,20.90,7.40,5/24,SAF,W
A Simelane*,Andile Simelane,03/06/2003,2024-,5,5,21,0,7*,5.25,4,0,43.00,11.47,2/34,SAF,W
L Sipamla,Lutho Sipamla,12/05/1998,2019-2024,11,3,11,0,8,5.50,6,0,61.33,10.42,2/22,SAF,W
G C Smith,Graeme Smith,01/02/1981,2005-2011,33,33,982,0,89,31.68,0,0,-,14.25,0/16,SAF,W
J F Smith*,Jason Smith,11/10/1994,2024-,1,1,6,0,6,0.00,0,0,-,-,,SAF,W
J T Smuts,JJ Smuts,21/09/1988,2017-2021,13,13,174,0,45*,13.38,1,0,178.00,7.85,1/19,SAF,W
G J Snyman,Jacques Snyman,10/05/1994,2021-2021,1,1,2,0,2*,2.00,0,0,-,12.00,0/12,SAF,W
D W Steyn,Dale Steyn,27/06/1983,2007-2020,47,12,21,0,5,3.50,64,2,18.36,6.95,4/9,SAF,W
T Stubbs*,Tristan Stubbs,14/08/2000,2022-,35,29,670,0,76*,29.13,0,0,-,20.50,0/20,SAF,W
G A Stuurman,Glenton Stuurman,10/08/1992,2021-2021,1,0,0,0,0*,0.00,0,0,-,14.00,0/28,SAF,W
R Telemachus,Roger Telemachus,27/03/1973,2006-2007,3,1,5,0,5,0.00,2,0,45.00,7.50,1/22,SAF,W
J Theron*,Rusty Theron,24/07/1985,2010-,9,3,31,0,30,0.00,12,1,21.75,8.07,4/27,SAF,W
A C Thomas,Alfonso Thomas,09/02/1977,2007-2007,1,0,0,0,0*,0.00,3,0,8.33,6.25,3/25,SAF,W
L L Tsotsobe,Lonwabo Tsotsobe,07/03/1984,2009-2014,23,3,2,0,1,2.00,18,0,30.06,6.94,3/16,SAF,W
H E van der Dussen*,Rassie van der Dussen,07/02/1989,2018-,50,46,1257,0,94,33.97,0,0,-,-,,SAF,W
R E van der Merwe*,Roelof van der Merwe,31/12/1984,2009-,13,6,57,0,48*,19.00,14,0,21.79,6.93,2/14,SAF,W
J J van der Wath,Johannes van der Wath,10/10/1978,2006-2007,8,4,46,0,21*,15.33,8,0,28.88,7.45,2/31,SAF,W
V B van Jaarsveld,Vaughn van Jaarsveld,02/02/1985,2009-2009,3,3,15,0,12*,5.00,0,0,-,-,,SAF,W
M N van Wyk,Morne van Wyk,20/03/1979,2007-2015,8,7,225,1,114,37.50,0,0,-,-,,SAF,W
D J Vilas,Dane Vilas,10/06/1985,2012-2012,1,0,0,0,0*,0.00,0,0,-,-,,SAF,W
D Wiese*,David Wiese,18/05/1985,2013-,20,11,92,0,28*,13.14,24,1,20.71,7.61,5/23,SAF,W
L B Williams*,Lizaad Williams,01/10/1993,2021-,15,7,6,0,2,1.50,20,0,24.55,9.50,3/35,SAF,W
M Zondeki,Monde Zondeki,25/07/1982,2006-2006,1,1,0,0,0*,0.00,1,0,41.00,13.67,1/41,SAF,W
Total Players = 109,,,,,,,,,,,,,,,SAF,W
