Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
F S Ahangama,Saliya Ahangama,14/09/1959,1985-1985,1,0,0,0,0*,0.00,0,0,-,7.67,0/23,SRL,O
K N Amalean,Kaushik Amalean,07/04/1965,1986-1988,8,3,15,0,9*,7.50,9,1,23.00,3.91,4/46,SRL,O
M K D Amerasinghe,Ishara Amerasinghe,05/03/1978,2007-2008,8,4,6,0,5,0.00,9,0,40.33,5.11,3/44,SRL,O
S D Anurasiri,Sangarange Anurasiri,25/02/1966,1986-1994,45,18,62,0,11*,10.33,32,0,45.75,4.18,3/40,SRL,O
M A Aponso,M Amila Aponso,23/06/1993,2016-2018,9,7,10,0,4*,3.33,10,1,37.70,5.35,4/18,SRL,O
R P Arnold,Russel Arnold,25/10/1973,1997-2007,180,155,3950,1,103*,35.27,40,0,43.48,4.84,3/47,SRL,O
K I C Asalanka*,Charith Asalanka,29/06/1997,2021-,73,65,2374,4,127*,43.16,16,1,25.69,4.79,4/18,SRL,O
M S Atapattu,Marvan Atapattu,22/11/1972,1990-2007,268,259,8529,11,132,37.57,0,0,-,4.82,0/4,SRL,O
C M Bandara,C Bandara,31/12/1979,2006-2010,31,17,160,0,31*,12.31,36,2,34.22,5.03,4/31,SRL,O
K M C Bandara,Chaminda Bandara,22/05/1987,2016-2016,1,1,1,0,1,0.00,1,0,83.00,8.30,1/83,SRL,O
K N A Bandara*,Ashen Bandara,23/11/1998,2021-,6,5,141,0,55,35.25,0,0,-,10.00,0/8,SRL,O
M R C Bandarathilake,M Bandarathilake,16/05/1975,1998-1998,3,1,0,0,0*,0.00,2,0,55.50,4.63,2/34,SRL,O
M Bhanuka,Minod Bhanuka,29/04/1995,2019-2021,6,6,140,0,36*,23.33,0,0,-,-,,SRL,O
J W H Boteju,Hemantha Boteju,03/11/1977,1999-1999,2,2,3,0,2*,3.00,0,0,-,6.65,0/56,SRL,O
P V D Chameera*,Dushmantha Chameera,11/01/1992,2015-,52,35,266,0,29*,11.57,56,2,35.18,5.47,5/16,SRL,O
U D U Chandana,Upul Chandana,07/05/1972,1994-2007,147,111,1627,0,89*,17.31,151,5,31.91,4.71,5/61,SRL,O
D Chandimal*,Dinesh Chandimal,18/11/1989,2010-,157,142,3854,4,111*,31.85,0,0,-,-,,SRL,O
M K P A Dananjaya*,Akila Dananjaya,04/10/1993,2012-,42,32,323,0,50,12.42,59,4,30.66,5.13,6/29,SRL,O
S Daniel*,Shevon Daniel,15/03/2004,2024-,1,1,12,0,12*,12.00,0,0,-,-,,SRL,O
P B Dassanayake,Pubudu Dassanayake,11/07/1970,1993-1994,16,10,85,0,20,10.63,0,0,-,-,,SRL,O
R G De Alwis,Guy De Alwis,15/02/1959,1983-1988,31,27,401,0,59,21.11,0,0,-,-,,SRL,O
A L F De Mel,Ashantha De Mel,09/05/1959,1982-1987,57,41,466,0,36*,14.56,59,3,37.92,4.91,5/32,SRL,O
S I De Saram,Indika De Saram,02/09/1973,1999-2001,15,13,183,0,38*,16.64,0,0,-,-,,SRL,O
A M de Silva,Ashley de Silva,03/12/1963,1986-1993,4,2,12,0,8*,6.00,0,0,-,-,,SRL,O
D de Silva*,Dhananjaya de Silva,06/09/1991,2016-,90,82,1865,0,93*,25.90,44,0,43.34,5.09,3/32,SRL,O
D L S De Silva,Stanley de Silva,17/11/1956,1979-1979,2,1,10,0,10*,10.00,2,0,27.00,2.70,2/36,SRL,O
D S De Silva,Somachandra De Silva,11/06/1942,1975-1985,41,29,371,0,37,19.53,32,0,48.66,4.50,3/29,SRL,O
E A R De Silva,Asoka De Silva,28/03/1956,1986-1992,28,20,138,0,19,9.86,17,0,56.88,4.22,3/38,SRL,O
G N De Silva,Granville De Silva,12/03/1955,1983-1985,4,2,9,0,7*,9.00,0,0,-,5.23,0/21,SRL,O
G R A de Silva,Ajit de Silva,12/12/1952,1975-1982,6,4,9,0,6,4.50,9,0,29.11,5.15,3/41,SRL,O
K S C de Silva,Sajeewa de Silva,11/01/1971,1996-2000,38,19,39,0,13,6.50,52,0,25.44,4.90,3/18,SRL,O
P A de Silva,Aravinda de Silva,17/10/1965,1984-2003,308,296,9284,11,145*,34.90,106,2,39.41,4.87,4/30,SRL,O
P C de Silva,Chaturanga de Silva,17/01/1990,2014-2017,7,7,94,0,44*,15.67,5,0,51.20,4.86,2/29,SRL,O
S K L de Silva,Lanka de Silva,29/07/1975,1997-1997,11,6,161,0,57*,53.67,0,0,-,-,,SRL,O
H D P K Dharmasena,Kumar Dharmasena,24/04/1971,1994-2004,141,87,1222,0,69,22.63,138,1,36.22,4.28,4/37,SRL,O
R L Dias,Roy Dias,18/10/1952,1979-1987,58,55,1573,2,121*,31.46,3,0,23.33,7.50,3/25,SRL,O
N Dickwella*,Niroshan Dickwella,23/06/1993,2014-,55,52,1604,2,116*,31.45,0,0,-,-,,SRL,O
L H D Dilhara,Loku Dilhara,03/07/1980,2005-2013,9,9,83,0,29*,9.22,6,0,43.50,4.75,2/30,SRL,O
T M Dilshan,Tillakaratne Dilshan,14/10/1976,1999-2016,330,303,10290,22,161,39.27,106,3,45.08,4.88,4/4,SRL,O
C I Dunusinghe,Chamara Dunusinghe,19/10/1970,1995-1995,1,1,1,0,1*,1.00,0,0,-,-,,SRL,O
R M S Eranga,Shaminda Eranga,23/06/1986,2011-2016,19,11,34,0,12,11.33,21,0,32.67,5.75,3/46,SRL,O
Eshan Malinga*,Eshan Malinga,04/02/2001,2025-,5,4,10,0,4*,5.00,4,0,39.25,6.04,3/35,SRL,O
A M Fernando*,Asitha Fernando,31/07/1997,2017-,20,5,3,0,2*,1.00,22,0,31.23,5.73,3/23,SRL,O
B Fernando*,Binura Fernando,12/07/1995,2021-2021,4,3,26,0,17*,8.67,2,0,68.00,5.37,1/33,SRL,O
B O P Fernando*,Oshada Fernando,15/04/1992,2019-2021,8,8,148,0,49*,18.50,0,0,-,8.00,0/16,SRL,O
C R D Fernando,Dilhara Fernando,19/07/1979,2001-2012,146,61,239,0,20*,9.19,183,3,30.67,5.22,6/27,SRL,O
E R Fernando,Ranjit Fernando,22/02/1944,1975-1975,3,3,47,0,22*,15.67,0,0,-,-,,SRL,O
E R N Fernando,Ellukutige Fernando,19/12/1955,1983-1983,7,5,101,0,36*,20.20,0,0,-,-,,SRL,O
K  H Fernando,Hasantha Fernando,14/10/1979,2002-2006,7,5,43,0,23,21.50,6,0,26.50,4.08,3/12,SRL,O
K A D Fernando,Dinusha,10/05/1979,2003-2003,1,0,0,0,0*,0.00,2,0,6.50,1.86,2/13,SRL,O
M N K Fernando*,Nuwanidu Fernando,13/10/1999,2023-,5,4,75,0,50*,18.75,0,0,-,-,,SRL,O
T C B Fernando,Charitha Fernando,22/08/1980,2001-2003,17,10,29,0,14,7.25,15,1,39.07,5.02,5/67,SRL,O
T L Fernando,Thewarathantrige Fernando,27/12/1962,1989-1989,1,1,8,0,8*,8.00,1,0,16.00,5.33,1/16,SRL,O
U N K Fernando,Nisal Fernando,10/03/1970,1994-1994,2,2,22,0,20,0.00,0,0,-,-,,SRL,O
V Fernando*,Vishwa Fernando,18/09/1991,2017-2019,8,8,30,0,7,15.00,5,0,67.40,6.81,1/35,SRL,O
W I A Fernando*,Avishka Fernando,05/04/1998,2016-,51,50,1589,4,127*,31.78,0,0,-,-,,SRL,O
I S Gallage,Indika Gallage,22/11/1975,1999-2001,3,2,17,0,14*,17.00,3,0,38.33,4.79,2/42,SRL,O
J C Gamage,Janak Gamage,17/04/1964,1995-1995,4,2,8,0,7,0.00,3,0,34.67,4.73,2/17,SRL,O
P L S Gamage,Lahiru Gamage,05/04/1988,2014-2017,9,5,4,0,3*,2.00,9,1,43.56,5.85,4/57,SRL,O
W C A Ganegama,Akalanka Ganegarma,29/03/1981,2001-2006,4,2,7,0,7*,3.50,2,0,44.00,8.00,2/27,SRL,O
Y Goonasekera,Yohan Goonasekera,08/11/1957,1983-1983,3,3,69,0,35*,23.00,1,0,35.00,5.83,1/24,SRL,O
F R M Goonatillake,Ranjan Goonatillake,15/08/1951,1979-1979,1,0,0,0,0*,0.00,0,0,-,3.78,0/34,SRL,O
H M Goonatillake,Hettiarachige Goonatillake,16/08/1952,1982-1982,6,4,31,0,14,31.00,0,0,-,-,,SRL,O
D A S Gunaratne,Asela Gunaratne,08/01/1986,2016-2019,31,25,575,1,114,27.38,22,0,32.86,5.20,3/10,SRL,O
P W Gunaratne,Pulasthi Gunaratne,27/09/1973,2002-2003,23,8,36,0,15,7.20,27,1,33.63,5.68,4/44,SRL,O
C D Gunasekara*,Chamika Gunasekara,25/11/1999,2022-2022,1,0,0,0,0*,0.00,0,0,-,8.00,0/8,SRL,O
