Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
M A Aponso,M Amila Aponso,23/06/1993,2018-2018,3,1,0,0,0*,0.00,4,0,19.75,7.90,2/29,SRL,W
R P Arnold,Russel Arnold,25/10/1973,2006-2006,1,1,7,0,7*,7.00,0,0,-,-,,SRL,W
K I C Asalanka*,Charith Asalanka,29/06/1997,2021-,58,57,1247,0,80,24.45,6,0,22.17,8.23,3/50,SRL,W
M S Atapattu,Marvan Atapattu,22/11/1972,2006-2006,2,1,5,0,5*,5.00,0,0,-,-,,SRL,W
C M Bandara,C Bandara,31/12/1979,2006-2009,4,3,12,0,7*,6.00,4,0,24.00,6.86,3/32,SRL,W
K M C Bandara,Chaminda Bandara,22/05/1987,2016-2016,1,1,2,0,2,0.00,0,0,-,11.00,0/11,SRL,W
K N A Bandara*,Ashen Bandara,23/11/1998,2021-,6,5,97,0,44,24.25,0,0,-,2.00,0/2,SRL,W
M Bhanuka,Minod Bhanuka,29/04/1995,2019-2021,5,4,64,0,36*,16.00,0,0,-,-,,SRL,W
P V D Chameera*,Dushmantha Chameera,11/01/1992,2015-,55,29,101,0,24,6.73,55,1,28.87,8.09,4/17,SRL,W
D Chandimal*,Dinesh Chandimal,18/11/1989,2010-2022,68,61,1062,0,66,19.67,0,0,-,-,,SRL,W
D L S Croospulle*,Dian Croospulle,04/10/1998,2023-,1,1,16,0,16*,16.00,0,0,-,-,,SRL,W
M K P A Dananjaya*,Akila Dananjaya,04/10/1993,2012-,33,16,65,0,11,8.13,30,0,32.17,8.26,3/36,SRL,W
S Daniel*,Shevon Daniel,15/03/2004,2023-,1,1,9,0,9*,9.00,0,0,-,-,,SRL,W
S I De Saram,Indika De Saram,02/09/1973,2009-2009,1,0,0,0,0*,0.00,0,0,-,-,,SRL,W
D de Silva*,Dhananjaya de Silva,06/09/1991,2015-,45,44,847,0,66,21.18,16,0,20.44,6.86,2/22,SRL,W
P C de Silva,Chaturanga de Silva,17/01/1990,2017-2017,2,2,22,0,21*,11.00,0,0,-,15.00,0/14,SRL,W
S T de Silva,Thiksila de Silva,16/12/1993,2017-2017,3,2,3,0,3*,1.50,0,0,-,10.00,0/10,SRL,W
N Dickwella*,Niroshan Dickwella,23/06/1993,2016-2021,28,27,480,0,68*,18.46,0,0,-,-,,SRL,W
L H D Dilhara,Loku Dilhara,03/07/1980,2008-2008,2,1,18,0,18,0.00,2,0,15.00,6.00,2/6,SRL,W
T M Dilshan,Tillakaratne Dilshan,14/10/1976,2006-2016,80,79,1889,1,104,28.19,9,0,34.78,7.28,2/4,SRL,W
R M S Eranga,Shaminda Eranga,23/06/1986,2012-2013,3,1,6,0,6*,6.00,3,0,30.00,8.18,2/30,SRL,W
A M Fernando*,Asitha Fernando,31/07/1997,2022-,7,3,11,0,10,0.00,4,0,52.00,10.40,1/11,SRL,W
B Fernando*,Binura Fernando,12/07/1995,2015-,20,6,37,0,20*,12.33,19,0,31.05,8.53,2/12,SRL,W
B O P Fernando*,Oshada Fernando,15/04/1992,2019-2021,7,6,128,0,78,25.60,0,0,-,-,,SRL,W
C R D Fernando,Dilhara Fernando,19/07/1979,2006-2016,18,7,25,0,21*,5.00,18,0,25.78,7.37,3/19,SRL,W
M N K Fernando*,Nuwanidu Fernando,13/10/1999,2023-,1,1,5,0,5*,5.00,0,0,-,-,,SRL,W
V Fernando*,Vishwa Fernando,18/09/1991,2017-2017,1,1,2,0,2*,2.00,0,0,-,8.00,0/16,SRL,W
W I A Fernando*,Avishka Fernando,05/04/1998,2019-,37,35,363,0,37*,11.00,0,0,-,-,,SRL,W
D A S Gunaratne,Asela Gunaratne,08/01/1986,2016-2017,12,12,225,0,84,25.00,5,0,40.80,8.21,1/11,SRL,W
M D Gunathilaka*,Danushka Gunathilaka,17/03/1991,2016-,46,45,741,0,57*,16.47,6,0,25.83,7.56,2/3,SRL,W
H M R K B Herath,Rangana Herath,19/03/1978,2011-2016,17,6,8,0,3*,2.67,18,1,20.72,6.13,5/3,SRL,W
L U Igalagamage*,Lahiru Igalagamage,27/11/1993,2023-,1,1,0,0,0*,0.00,0,0,-,-,,SRL,W
C U Jayasinghe,Chinthaka Jayasinghe,19/05/1978,2009-2010,5,3,49,0,38*,49.00,0,0,-,-,,SRL,W
G S N F G Jayasuriya,Shehan Jayasuriya,12/09/1991,2015-2020,18,16,241,0,40*,15.06,3,0,71.00,9.33,1/11,SRL,W
S T Jayasuriya,Sanath Jayasuriya,30/06/1969,2006-2011,31,30,629,0,88*,23.30,19,0,24.00,7.37,3/21,SRL,W
