Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
F A Allen*,Fabian Allen,07/05/1995,2018-,39,27,272,0,34*,15.11,24,0,30.83,7.56,2/18,WIN,W
A Athanaze*,Alick Athanaze,07/12/1998,2024-,4,4,75,0,40*,25.00,0,0,-,-,,WIN,W
S Badree,Samuel Badree,09/03/1981,2012-2018,50,15,43,0,14,7.17,54,1,20.76,6.09,4/15,WIN,W
L S Baker,Lionel Baker,06/09/1984,2008-2009,3,0,0,0,0*,0.00,2,0,29.00,7.25,1/12,WIN,W
A B Barath,Adrian Barath,14/04/1990,2010-2011,2,2,23,0,15*,11.50,0,0,-,-,,WIN,W
C D Barnwell,Christopher Barnwell,06/01/1987,2011-2013,6,6,78,0,34,19.50,1,0,51.00,8.50,1/24,WIN,W
M C Bascombe,Miles Bascombe,12/01/1986,2011-2011,1,1,3,0,3*,3.00,0,0,-,-,,WIN,W
C S Baugh,Carlton Baugh,23/06/1982,2008-2012,3,3,10,0,7*,3.33,0,0,-,-,,WIN,W
S J Benn,Sulieman Benn,22/07/1981,2008-2016,24,7,37,0,13,12.33,18,1,33.67,7.21,4/6,WIN,W
D E Bernard,David Bernard,19/07/1981,2009-2009,1,1,1,0,1,0.00,0,0,-,4.25,0/17,WIN,W
T L Best,Tino Best,26/08/1981,2013-2014,6,1,17,0,17,0.00,6,0,25.67,7.70,3/18,WIN,W
D Bishoo,Devendra Bishoo,06/11/1985,2011-2019,7,4,17,0,8*,8.50,7,1,19.57,6.79,4/17,WIN,W
N E Bonner*,Nkruma Bonner,23/01/1989,2011-2012,2,2,27,0,24*,13.50,0,0,-,9.00,0/18,WIN,W
I D R Bradshaw,Ian Bradshaw,09/07/1974,2006-2006,1,1,0,0,0,0.00,0,0,-,5.50,0/22,WIN,W
C R Brathwaite,Carlos Brathwaite,18/07/1988,2011-2019,41,27,310,0,37,14.76,31,0,32.68,8.57,3/20,WIN,W
D J Bravo,Dwayne Bravo,07/10/1983,2006-2021,91,74,1255,0,66,22.02,78,3,26.10,8.12,4/19,WIN,W
D M Bravo,Darren Bravo,06/02/1989,2010-2022,26,22,405,0,43,21.32,0,0,-,-,,WIN,W
S S J Brooks*,Shamarh Brooks,01/10/1988,2021-,13,12,218,0,56,19.82,0,0,-,-,,WIN,W
D C Butler,Deighton Butler,14/07/1974,2006-2006,1,0,0,0,0*,0.00,0,0,-,7.33,0/22,WIN,W
J D Campbell*,John Campbell,21/09/1993,2019-2019,2,2,11,0,11*,5.50,0,0,-,1.00,0/1,WIN,W
Y Cariah*,Yannic Cariah,22/06/1992,2022-,2,2,3,0,2,0.00,1,0,39.00,5.57,1/15,WIN,W
S Chanderpaul,Shivnarine Chanderpaul,16/08/1974,2006-2010,22,22,343,0,41*,20.18,0,0,-,-,,WIN,W
J Charles*,Johnson Charles,14/01/1989,2011-,60,59,1359,1,118*,23.03,0,0,-,-,,WIN,W
R L Chase*,Roston Chase,22/03/1992,2021-,32,24,410,0,67,22.78,22,0,26.23,6.76,3/12,WIN,W
D O Christian,Derwin Christian,09/05/1983,2011-2011,2,1,0,0,0*,0.00,0,0,-,-,,WIN,W
